,respondent,resp_id_old,subset,subset_old,survey_immediate_start,sns_filename_x,sns_findSpecific_Item1_RT,sns_findSpecific_Item1_AOISelected,sns_findSpecific_Item1_AOIAccuracy,sns_findSpecific_Item1_FixationCount,sns_findSpecific_Item2_RT,sns_findSpecific_Item2_AOISelected,sns_findSpecific_Item2_AOIAccuracy,sns_findSpecific_Item2_FixationCount,sns_findSpecific_Item3_RT,sns_findSpecific_Item3_AOISelected,sns_findSpecific_Item3_AOIAccuracy,sns_findSpecific_Item3_FixationCount,sns_findSpecific_Item4_RT,sns_findSpecific_Item4_AOISelected,sns_findSpecific_Item4_AOIAccuracy,sns_findSpecific_Item4_FixationCount,sns_findSpecific_Item5_RT,sns_findSpecific_Item5_AOISelected,sns_findSpecific_Item5_AOIAccuracy,sns_findSpecific_Item5_FixationCount,sns_findSpecific_Item1_subjUndiscovered,sns_findSpecific_Item2_subjUndiscovered,sns_findSpecific_Item3_subjUndiscovered,sns_findSpecific_Item4_subjUndiscovered,sns_findSpecific_Item5_subjUndiscovered,sns_findAnything_BackPage_RT,sns_findAnything_BackPage_AOISelected,sns_findAnything_BackPage_AOIAccuracy,sns_findAnything_BackPage_FixationCount,sns_findAnything_FrontPage_RT,sns_findAnything_FrontPage_AOISelected,sns_findAnything_FrontPage_AOIAccuracy,sns_findAnything_FrontPage_FixationCount
74,75,19,1,Nandos_Menu_Current_Subset1_2,05/27/2025 3:14:56 PM,003_Resp_019.csv,19885.0097,Item_74,4,52,9605.4013,Item_06,4,30,21007.7223,Item_53,4,57,7352.9635,Item_10,4,16,5919.7134,Item_26,4,12,0,0,0,0,0,20300.7231,Item_26,3,35,68459.7506,Item_69 dwelled on; Item_69 dwelled on (1),3,172
75,76,82,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/27/2025 4:45:09 PM,010_Resp_082.csv,2860.3222,Item_09,4,9,12436.3384,Item_17,3,38,8455.7848,Item_60,4,28,3790.6519,Item_47,4,9,6098.9048,Item_46,4,18,0,0,1,1,0,14620.0114,Heading_27,4,25,220498.9832,Item_45,4,550
76,77,29,1,Nandos_Menu_Current_Subset1_2,05/27/2025 9:00:22 AM,005_Resp_029.csv,9293.0889,Item_17,3,27,57942.6228,Item_17,3,159,56770.1522,Item_07,4,153,6411.9392,Item_70,4,20,4245.855,Item_46,3,12,1,0,0,1,1,46916.9298,Visual_14,4,116,118479.3737,InfoAddDrink_03,4,273
77,78,60,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 9:07:54 AM,012_Resp_060.csv,4671.3624,Item_65,3,15,43150.9045,Item_15,3,102,7910.5097,Item_61,3,16,4494.2422,Item_47,3,14,6915.5217,Item_30,4,21,0,1,0,1,0,36201.445,Item_13,4,82,95908.7164,Item_06,4,257
78,79,55,2,Nandos_Menu_NewFunctional_Subset2_2,05/27/2025 10:00:30 AM,001_Resp_055.csv,43144.6432,Item_65,4,110,9409.4447,Item_17,3,28,7284.7228,Item_32,4,23,9949.9798,Item_10,4,29,5636.2945,Item_30,3,15,0,1,0,1,0,31816.932,Item_26,4,66,71313.1848,Item_42,4,176
79,80,62,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 10:22:15 AM,013_Resp_062.csv,6704.1648,Item_65,3,23,11339.9622,Item_17,4,30,25651.2211,,3,82,2898.7086,Item_10,3,7,2331.3582,Item_30,4,11,0,1,0,1,1,28950.4661,Item_30,3,81,52076.1123,Item_37,3,167
80,81,78,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/27/2025 11:12:07 AM,009_Resp_078.csv,14621.9697,Item_09,4,50,8147.4604,Item_17,4,15,4249.4794,Item_61,3,9,7306.4678,Item_10,3,25,4910.6942,,4,11,0,1,1,1,0,48819.2501,Item_26,4,87,97443.9268,Heading_22,3,217
81,82,22,1,Nandos_Menu_Current_Subset1_2,05/28/2025 9:19:24 AM,002_Resp_022.csv,15351.2,Item _72,3,37,74621.3246,,4,194,12034.5724,,3,40,7407.2342,Item_47,4,23,3395.9842,,4,10,0,1,0,1,0,85931.8247,Item_91,4,191,223741.0799,Item_11 dwelled on; Item_11 dwelled on (1),3,443
82,83,57,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/28/2025 9:47:05 AM,016_Resp_057.csv,4507.6482,Item_09,4,10,22978.0816,Item_17,3,57,6108.0874,,4,16,8943.9368,Item_47,4,20,3000.609,Item_30,4,5,0,0,0,1,1,35542.0217,Item_30,4,50,126392.4468,Item_24,4,249
83,84,88,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 10:17:14 AM,002_Resp_088.csv,,,,,33177.52,Item_17,4,70,19903.6326,Item_32,4,53,8958.5597,Item_10,4,16,10871.3196,Item_46,3,23,0,1,0,1,1,49575.1936,Item_46,3,126,141254.3384,Item_17,4,320
84,85,84,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 10:32:28 AM,011_Resp_084.csv,52888.4756,Item_09,4,121,64556.6685,Item_17,4,176,13553.764,,3,31,10100.7097,Item_10,4,30,5880.0118,Item_46,4,14,0,1,0,1,0,11802.4023,Item_38,4,23,106894.1044,Item_35,4,268
85,86,90,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 11:13:30 AM,001_Resp_090.csv,30995.0243,Item_41,4,99,16686.2631,Item_17,4,51,88900.4467,Item_23,4,237,6532.6772,Item_10,4,16,13380.9345,Item_30,4,38,0,0,0,1,1,30082.4977,Item_26,4,68,46235.9133,Item_17,3,115
86,87,86,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 11:21:26 AM,012_Resp_086.csv,11122.7346,Item_09,4,30,12387.9773,Item_15,3,42,11873.4397,,4,38,10646.7551,Item_70,4,38,3332.4586,Item_46,4,12,0,1,0,0,0,31919.3646,Item_13,4,75,49548.6573,Item_83,4,137
87,88,87,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 12:07:04 PM,004_Resp_087.csv,39016.3303,Item_09,4,94,27744.4205,Item_17,4,82,28468.9338,Item_61,3,73,7824.09,Item_10,4,13,6000.9591,Item_30,4,13,0,0,0,1,0,39373.5889,Item_92,4,87,80169.4543,Item_51,4,195
88,89,80,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 12:23:44 PM,013_Resp_080.csv,16487.1946,Item_65,3,37,11221.0269,Item_15,3,23,8122.6509,,3,24,6836.0324,Item_10,4,8,3983.2009,Item_46,3,12,0,0,0,1,0,65642.582,Item_120,4,86,134325.4071,Item_03,3,175
89,90,30,1,Nandos_Menu_Current_Subset1_2,05/28/2025 12:54:30 PM,001_Resp_030.csv,4639.1478,Item_17,4,11,48634.9793,,3,128,35167.3536,Item_23,3,82,4152.259,Item_70,4,13,2377.8544,Item_104,4,3,0,1,0,0,0,36220.9461,Item_70,4,73,47650.7115,Item_55,4,136
